yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
1.821411,1.203703,2.439119,0,0,,m2,hep-ph,m6,,,,,
3.953126,2.823325,5.082927,0,1,,m2,hep-ph,m6,,,,,
9.869324,7.373968,12.36468,0,5,,m2,hep-ph,m6,,,,,
2.709983,2.129837,3.290128,0.5,0,,m2,hep-ph,m6,,,,,
4.266114,3.346418,5.185809,0.5,1,,m2,hep-ph,m6,,,,,
10.65072,8.65396,12.64749,0.5,5,,m2,hep-ph,m6,,,,,
3.371113,2.824807,3.917419,1,0,,m2,hep-ph,m6,,,,,
4.603882,3.891687,5.316076,1,1,,m2,hep-ph,m6,,,,,
11.49399,9.908469,13.07951,1,5,,m2,hep-ph,m6,,,,,
3.839923,3.325128,4.354718,1.5,0,,m2,hep-ph,m6,,,,,
4.968393,4.379543,5.557242,1.5,1,,m2,hep-ph,m6,,,,,
12.40402,10.85622,13.95182,1.5,5,,m2,hep-ph,m6,,,,,
4.223659,3.625823,4.821494,2,0,,m2,hep-ph,m6,,,,,
5.361763,4.432327,6.2912,2,1,,m2,hep-ph,m6,,,,,
13.38611,11.27917,15.49304,2,5,,m2,hep-ph,m6,,,,,
4.5879,3.741854,5.433946,2.5,0,,m2,hep-ph,m6,,,,,
5.786279,4.746955,6.825603,2.5,1,,m2,hep-ph,m6,,,,,
14.44595,11.32621,17.56569,2.5,5,,m2,hep-ph,m6,,,,,
4.962101,3.741862,6.18234,3,0,,m2,hep-ph,m6,,,,,
6.244405,4.710228,7.778583,3,1,,m2,hep-ph,m6,,,,,
15.5897,11.1483,20.0311,3,5,,m2,hep-ph,m6,,,,,
5.358971,3.667818,7.050123,3.5,0,,m2,hep-ph,m6,,,,,
6.738804,4.595866,8.881742,3.5,1,,m2,hep-ph,m6,,,,,
16.82401,10.79662,22.8514,3.5,5,,m2,hep-ph,m6,,,,,
5.78472,3.534048,8.035393,4,0,,m2,hep-ph,m6,,,,,
7.272346,4.413415,10.13128,4,1,,m2,hep-ph,m6,,,,,
18.15604,10.2796,26.03249,4,5,,m2,hep-ph,m6,,,,,
6.243252,3.342722,9.143783,4.5,0,,m2,hep-ph,m6,,,,,
